timestamps,data
2024-06-12 14:00:27,208369
2024-06-12 14:00:27,208370
2024-06-12 14:00:27,208371
2024-06-12 14:00:27,208372
2024-06-12 14:00:27,208373
2024-06-12 14:00:27,208374
2024-06-12 14:00:28,208375
2024-06-12 14:00:28,208376
2024-06-12 14:00:28,208377
2024-06-12 14:00:28,208378
2024-06-12 14:00:28,208379
2024-06-12 14:00:28,208380
2024-06-12 14:00:28,208381
2024-06-12 14:00:28,208382
2024-06-12 14:00:28,208383
2024-06-12 14:00:29,208384
2024-06-12 14:00:29,208385
2024-06-12 14:00:29,208386
2024-06-12 14:00:29,208387
2024-06-12 14:00:29,208388
2024-06-12 14:00:29,208389
2024-06-12 14:00:29,208390
2024-06-12 14:00:29,208391
2024-06-12 14:00:29,208392
2024-06-12 14:00:29,208393
2024-06-12 14:00:30,208394
2024-06-12 14:00:30,208395
2024-06-12 14:00:30,208396
2024-06-12 14:00:30,208397
2024-06-12 14:00:30,208398
2024-06-12 14:00:30,208399
2024-06-12 14:00:30,208400
2024-06-12 14:00:30,208401
2024-06-12 14:00:30,208402
2024-06-12 14:00:30,208403
2024-06-12 14:00:31,208404
2024-06-12 14:00:31,208405
2024-06-12 14:00:31,208406
2024-06-12 14:00:31,208407
2024-06-12 14:00:31,208408
2024-06-12 14:00:31,208409
2024-06-12 14:00:31,208410
2024-06-12 14:00:31,208411
2024-06-12 14:00:31,208412
2024-06-12 14:00:31,208413
2024-06-12 14:00:32,208414
2024-06-12 14:00:32,208415
2024-06-12 14:00:32,208416
2024-06-12 14:00:32,208417
2024-06-12 14:00:32,208418
2024-06-12 14:00:32,208419
2024-06-12 14:00:32,208420
2024-06-12 14:00:32,208421
2024-06-12 14:00:32,208422
2024-06-12 14:00:32,208423
2024-06-12 14:00:33,208424
2024-06-12 14:00:33,208425
2024-06-12 14:00:33,208426
2024-06-12 14:00:33,208427
2024-06-12 14:00:33,208428
2024-06-12 14:00:33,208429
2024-06-12 14:00:33,208430
2024-06-12 14:00:33,208431
